GEO.id2,HC01_EST_VC01,HC02_EST_VC01,HC03_EST_VC01,HC04_EST_VC01,,,,,
Id2,Total; Estimate; Workers 16 years and over,"Car, truck, or van -- drove alone; Estimate; Workers 16 years and over","Car, truck, or van -- carpooled; Estimate; Workers 16 years and over",Public transportation (excluding taxicab); Estimate; Workers 16 years and over,,,,,
1077,4942,4399,238,11,,,,,
1079,292,282,10,0,,,,,
1080,856,730,85,0,,,,,
1081,764,610,92,0,,,,,
1082,4917,4375,214,16,,,,,
1083,1328,1188,128,0,,,,,
1084,79,68,0,0,,,,,
1085,20518,17402,1489,123,,,,,
1086,152,66,0,0,,,,,
1088,242,212,5,0,,,,,
1089,13670,11674,988,302,,,,,
1092,597,537,31,0,,,,,
1093,187,167,4,0,,,,,
1094,113,88,25,0,,,,,
1095,7310,6108,532,67,,,,,
1096,1371,1148,103,5,,,,,
1097,31,20,0,0,,,,,
1098,627,492,43,12,,,,,
1103,926,600,56,106,,,,,
1104,9177,6749,1533,428,,,,,
1105,3181,1982,383,407,,,,,
1106,7744,6624,390,29,,,,,
1107,3248,2174,478,195,,,,,
1108,10632,7636,1382,763,,,,,
1109,10228,7218,809,855,,,,,
1118,7005,5750,742,113,,,,,
1119,5487,4656,383,67,,,,,
1128,1411,1120,211,29,,,,,
1129,3668,3207,246,31,,,,,
1151,3639,3013,262,93,,,,,
1199,0,0,0,0,,,,,
1201,21112,16564,2352,290,,,,,
1220,4233,3479,372,28,,,,,
1222,528,352,54,19,,,,,
1223,1244,1039,73,2,,,,,
1224,83,70,6,7,,,,,
1225,1478,1368,34,50,,,,,
1226,3436,2825,322,18,,,,,
1229,48,36,0,0,,,,,
1230,4094,2717,560,91,,,,,
1235,1533,1349,95,5,,,,,
1236,727,660,46,0,,,,,
1237,1438,1200,51,4,,,,,
1238,3029,2430,306,70,,,,,
1240,1521,1140,99,0,,,,,
1242,224,174,26,0,,,,,
1243,236,221,5,0,,,,,
1244,73,54,0,0,,,,,
1245,500,322,21,6,,,,,
1247,6980,5538,409,115,,,,,
1253,329,228,63,7,,,,,
1254,468,376,18,0,,,,,
1255,415,313,38,4,,,,,
1256,390,337,9,0,,,,,
1257,1068,807,28,7,,,,,
1258,197,91,25,4,,,,,
1259,330,256,42,11,,,,,
1260,257,237,0,0,,,,,
1262,691,424,24,30,,,,,
1264,63,48,0,3,,,,,
1266,767,592,10,13,,,,,
1267,3339,1922,187,29,,,,,
1270,380,345,17,0,,,,,
1301,8916,7152,600,20,,,,,
1330,890,724,58,4,,,,,
1331,5904,4849,608,72,,,,,
1337,1405,1210,85,0,,,,,
1338,122,97,8,0,,,,,
1339,636,476,74,3,,,,,
1340,918,735,110,0,,,,,
1341,948,740,74,9,,,,,
1342,847,384,62,0,,,,,
1343,25,18,0,0,,,,,
1344,792,689,65,16,,,,,
1346,242,201,19,0,,,,,
1347,96,94,2,0,,,,,
1349,561,487,28,23,,,,,
1350,51,43,1,0,,,,,
1351,1105,938,53,6,,,,,
1354,1031,661,116,4,,,,,
1355,483,373,56,7,,,,,
1360,1618,1238,273,0,,,,,
1364,3250,2487,301,30,,,,,
1366,573,425,60,3,,,,,
1367,300,229,25,0,,,,,
1368,628,556,36,0,,,,,
1370,2108,1618,214,9,,,,,
1373,2398,2004,138,43,,,,,
1375,2393,1572,317,392,,,,,
1376,2306,1777,202,9,,,,,
1378,355,291,31,0,,,,,
1379,401,286,28,10,,,,,
1420,17958,14282,1955,311,,,,,
1430,3220,2697,240,40,,,,,
1431,1674,1497,42,14,,,,,
